"Cancer","0","2","4","6","8","10","12","14","16","18","Method","Age","Gender","Stratification","GenderAge","Database","CalenderYearGp"
"IncidentLungCancer","1989","467","235","134","83","47","30","15","<5","<5","Kaplan-Meier","50-59","Female","Age*Gender","Female_50-59","CPRDGold","2000-2019"
"IncidentLungCancer","4766","1066","521","278","149","77","40","20","6","<5","Kaplan-Meier","60-69","Female","Age*Gender","Female_60-69","CPRDGold","2000-2019"
"IncidentLungCancer","6329","1155","518","262","154","68","30","10","<5","0","Kaplan-Meier","70-79","Female","Age*Gender","Female_70-79","CPRDGold","2000-2019"
"IncidentLungCancer","3800","444","142","51","20","6","<5","<5","0","0","Kaplan-Meier","80-89","Female","Age*Gender","Female_80-89","CPRDGold","2000-2019"
"IncidentLungCancer","534","28","6","<5","<5","0","0","0","0","0","Kaplan-Meier",">=90","Female","Age*Gender","Female_>=90","CPRDGold","2000-2019"
"IncidentLungCancer","16","9","<5","<5","<5","<5","<5","0","0","0","Kaplan-Meier","18-29","Male","Age*Gender","Male_18-29","CPRDGold","2000-2019"
"IncidentLungCancer","53","11","<5","<5","<5","0","0","0","0","0","Kaplan-Meier","30-39","Male","Age*Gender","Male_30-39","CPRDGold","2000-2019"
"IncidentLungCancer","438","83","47","33","24","13","9","<5","<5","0","Kaplan-Meier","40-49","Male","Age*Gender","Male_40-49","CPRDGold","2000-2019"
"IncidentLungCancer","2102","339","171","115","75","36","18","15","7","0","Kaplan-Meier","50-59","Male","Age*Gender","Male_50-59","CPRDGold","2000-2019"
"IncidentLungCancer","5853","1038","494","257","140","81","37","16","7","<5","Kaplan-Meier","60-69","Male","Age*Gender","Male_60-69","CPRDGold","2000-2019"
"IncidentLungCancer","8025","1179","440","215","112","46","20","8","<5","0","Kaplan-Meier","70-79","Male","Age*Gender","Male_70-79","CPRDGold","2000-2019"
"IncidentLungCancer","4442","421","117","53","16","<5","<5","0","0","0","Kaplan-Meier","80-89","Male","Age*Gender","Male_80-89","CPRDGold","2000-2019"
"IncidentLungCancer","502","21","<5","0","0","0","0","0","0","0","Kaplan-Meier",">=90","Male","Age*Gender","Male_>=90","CPRDGold","2000-2019"
"IncidentPancreaticCancer","0","0","0","0","0","0","0","0","0","0","Kaplan-Meier","18-29","Female","Age*Gender","Female_18-29","CPRDGold","2000-2019"
"IncidentPancreaticCancer","13","<5","<5","<5","<5","<5","0","0","0","0","Kaplan-Meier","30-39","Female","Age*Gender","Female_30-39","CPRDGold","2000-2019"
"IncidentPancreaticCancer","120","29","17","10","7","<5","<5","<5","0","0","Kaplan-Meier","40-49","Female","Age*Gender","Female_40-49","CPRDGold","2000-2019"
"IncidentPancreaticCancer","452","70","33","20","9","7","<5","0","0","0","Kaplan-Meier","50-59","Female","Age*Gender","Female_50-59","CPRDGold","2000-2019"
"IncidentPancreaticCancer","999","99","33","20","13","8","<5","<5","0","0","Kaplan-Meier","60-69","Female","Age*Gender","Female_60-69","CPRDGold","2000-2019"
"IncidentPancreaticCancer","1437","112","44","23","16","12","7","<5","0","0","Kaplan-Meier","70-79","Female","Age*Gender","Female_70-79","CPRDGold","2000-2019"
"IncidentPancreaticCancer","1199","73","25","11","6","<5","<5","0","0","0","Kaplan-Meier","80-89","Female","Age*Gender","Female_80-89","CPRDGold","2000-2019"
"IncidentPancreaticCancer","256","<5","0","0","0","0","0","0","0","0","Kaplan-Meier",">=90","Female","Age*Gender","Female_>=90","CPRDGold","2000-2019"
"IncidentPancreaticCancer","<5","<5","0","0","0","0","0","0","0","0","Kaplan-Meier","18-29","Male","Age*Gender","Male_18-29","CPRDGold","2000-2019"
"IncidentPancreaticCancer","20","6","<5","<5","<5","<5","0","0","0","0","Kaplan-Meier","30-39","Male","Age*Gender","Male_30-39","CPRDGold","2000-2019"
"IncidentPancreaticCancer","156","36","16","8","<5","<5","<5","<5","<5","0","Kaplan-Meier","40-49","Male","Age*Gender","Male_40-49","CPRDGold","2000-2019"
"IncidentPancreaticCancer","557","78","32","23","15","10","<5","<5","0","0","Kaplan-Meier","50-59","Male","Age*Gender","Male_50-59","CPRDGold","2000-2019"
"IncidentPancreaticCancer","1233","132","59","37","25","11","7","<5","<5","0","Kaplan-Meier","60-69","Male","Age*Gender","Male_60-69","CPRDGold","2000-2019"
"IncidentPancreaticCancer","1461","104","38","24","10","9","<5","<5","0","0","Kaplan-Meier","70-79","Male","Age*Gender","Male_70-79","CPRDGold","2000-2019"
"IncidentPancreaticCancer","847","37","9","<5","<5","<5","<5","0","0","0","Kaplan-Meier","80-89","Male","Age*Gender","Male_80-89","CPRDGold","2000-2019"
"IncidentPancreaticCancer","121","<5","<5","<5","0","0","0","0","0","0","Kaplan-Meier",">=90","Male","Age*Gender","Male_>=90","CPRDGold","2000-2019"
"IncidentStomachCancer","7","<5","<5","<5","0","0","0","0","0","0","Kaplan-Meier","18-29","Female","Age*Gender","Female_18-29","CPRDGold","2000-2019"
"IncidentStomachCancer","32","10","<5","<5","<5","<5","<5","0","0","0","Kaplan-Meier","30-39","Female","Age*Gender","Female_30-39","CPRDGold","2000-2019"
"IncidentStomachCancer","101","24","13","8","7","<5","<5","<5","<5","0","Kaplan-Meier","40-49","Female","Age*Gender","Female_40-49","CPRDGold","2000-2019"
"IncidentStomachCancer","186","61","34","21","15","9","<5","<5","<5","0","Kaplan-Meier","50-59","Female","Age*Gender","Female_50-59","CPRDGold","2000-2019"
"IncidentStomachCancer","376","115","78","52","37","21","12","7","<5","0","Kaplan-Meier","60-69","Female","Age*Gender","Female_60-69","CPRDGold","2000-2019"
"IncidentStomachCancer","781","179","105","64","43","24","15","10","<5","0","Kaplan-Meier","70-79","Female","Age*Gender","Female_70-79","CPRDGold","2000-2019"
"IncidentStomachCancer","809","146","64","33","15","8","<5","0","0","0","Kaplan-Meier","80-89","Female","Age*Gender","Female_80-89","CPRDGold","2000-2019"
"IncidentStomachCancer","182","14","<5","0","0","0","0","0","0","0","Kaplan-Meier",">=90","Female","Age*Gender","Female_>=90","CPRDGold","2000-2019"
"IncidentStomachCancer","13","<5","<5","<5","<5","0","0","0","0","0","Kaplan-Meier","18-29","Male","Age*Gender","Male_18-29","CPRDGold","2000-2019"
"IncidentStomachCancer","27","7","<5","<5","<5","<5","0","0","0","0","Kaplan-Meier","30-39","Male","Age*Gender","Male_30-39","CPRDGold","2000-2019"
"IncidentStomachCancer","110","29","16","11","6","<5","<5","<5","<5","<5","Kaplan-Meier","40-49","Male","Age*Gender","Male_40-49","CPRDGold","2000-2019"
"IncidentStomachCancer","360","92","58","38","28","23","14","10","<5","<5","Kaplan-Meier","50-59","Male","Age*Gender","Male_50-59","CPRDGold","2000-2019"
"IncidentStomachCancer","853","221","118","80","59","38","24","15","6","<5","Kaplan-Meier","60-69","Male","Age*Gender","Male_60-69","CPRDGold","2000-2019"
"IncidentStomachCancer","1592","358","209","137","72","37","17","7","<5","<5","Kaplan-Meier","70-79","Male","Age*Gender","Male_70-79","CPRDGold","2000-2019"
"IncidentStomachCancer","1088","147","52","26","11","<5","0","0","0","0","Kaplan-Meier","80-89","Male","Age*Gender","Male_80-89","CPRDGold","2000-2019"
"IncidentStomachCancer","147","9","<5","<5","0","0","0","0","0","0","Kaplan-Meier",">=90","Male","Age*Gender","Male_>=90","CPRDGold","2000-2019"
